  n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
  0,             0,               0,              0,         0,           0,          0
  1,             0,               0,              0,         0,           0,          1
  2,             1,               0,              4,         1,           0,          3
  3,             2,               0,              3,         2,           0,          4
  4,             4,               1,              4,         4,           0,          6
  5,             5,               1,              5,         6,           0,          9
  6,             9,               4,              9,        10,           0,         13
  7,            12,               6,             10,        13,           0,         16
  8,            13,               6,             10,        15,           0,         18
  9,            14,               6,             11,        16,           0,         22
 10,            16,               7,             12,        18,           0,         22
 11,            18,               8,             14,        21,           0,         26
 12,            19,               8,             15,        26,           0,         30
 13,            20,               8,             16,        28,           0,         31
 14,            21,               8,             16,        30,           0,         33
 15,            22,               8,             16,        33,           0,         38
 16,            23,               8,             17,        36,           0,         41
 17,            24,               8,             18,        37,           0,         42
 18,            25,               8,             17,        40,           0,         61
 19,            27,               9,             19,        42,           0,         46
 20,            28,               9,             18,        45,           0,         49
 21,            29,               9,             20,        47,           0,         51
 22,            30,               9,             20,        49,           0,         55
 23,            31,               9,             20,        53,           0,         57
 24,            32,               9,             20,        59,           0,         61
 25,            33,               9,             20,        61,           0,         64
 26,            34,               9,             22,        63,           0,         66
 27,            35,               9,             23,        67,           0,         69
 28,            37,              10,             24,        69,           0,         72
 29,            39,              11,             25,        73,           0,         78
 30,            40,              11,             26,        78,           0,         78
 31,            41,              11,             25,        82,           0,         81
 32,            42,              11,             26,        86,           0,         86
 33,            43,              11,             26,        87,           0,         87
 34,            44,              11,             27,        88,           0,         89
 35,            46,              12,             28,        90,           0,         91
 36,            48,              13,             30,        97,           0,         97
 37,            50,              14,             31,       100,           0,        100
 38,            55,              18,             36,       102,           0,        103
 39,            56,              18,             36,       108,           0,        108
 40,            57,              18,             36,       111,           0,        109
 41,            58,              18,             38,       113,           0,        113
 42,            59,              18,             37,       115,           0,        116
 43,            61,              19,             39,       117,           0,        117
 44,            63,              20,             40,       122,           0,        118
 45,            65,              21,             42,       127,           0,        117
 46,            66,              21,             42,       132,           0,        119
 47,            67,              21,             41,       135,           0,        123
 48,            68,              21,             41,       144,           0,        128
 49,            69,              21,             43,       146,           0,        129
 50,            71,              22,             45,       146,           0,        131
 51,            72,              22,             45,       151,           0,        135
 52,            73,              22,             46,       153,           0,        138
 53,            75,              23,             47,       158,           0,        173
 54,            77,              24,             65,       162,           0,        154
 55,            78,              24,             51,       169,           0,        152
 56,            80,              25,             51,       172,           0,        154
 57,            81,              25,             50,       175,           0,        155
 58,            82,              25,             51,       176,           0,        157
 59,            83,              25,             51,       181,           0,        161
 60,            85,              26,             54,       184,           0,        163
 61,            86,              26,             54,       190,           0,        166
 62,            87,              26,             55,       196,           0,        173
 63,            88,              26,             54,       203,           0,        176
 64,            89,              26,             55,       205,           0,        180
 65,            90,              26,             55,       206,           0,        183
 66,            91,              26,             57,       208,           0,        185
 67,            92,              26,             55,       207,           0,        185
 68,            94,              27,             57,       217,           0,        189
 69,            97,              29,             69,       219,           0,        178
 70,           100,              31,             94,       223,           0,        221
 71,           101,              31,             58,       224,           0,        185
 72,           102,              31,             81,       231,           0,        188
 73,           104,              32,             59,       231,           0,        188
 74,           106,              33,             61,       237,           0,        303
 75,           107,              33,             66,       240,           0,        195
 76,           108,              33,             62,       244,           0,        198
 77,           109,              33,             61,       250,           0,        202
 78,           111,              34,             63,       250,           0,        240
 79,           112,              34,             84,       256,           0,        337
 80,           113,              34,             69,       262,           0,        215
 81,           114,              34,             69,       263,           0,        261
 82,           115,              34,             84,       265,           0,        216
 83,           116,              34,             66,       271,           0,        246
 84,           117,              34,             85,       272,           0,        256
 85,           118,              34,             68,       276,           0,        227
 86,           119,              34,             66,       278,           0,        274
 87,           120,              34,             69,       281,           0,        238
 88,           121,              34,             72,       287,           0,        240
 89,           122,              34,             93,       290,           0,        262
 90,           124,              35,             71,       295,           0,        239
 91,           125,              35,             71,       298,           0,        244
 92,           126,              35,             71,       305,           0,        362
 93,           128,              36,             92,       308,           0,        265
 94,           129,              36,             81,       317,           0,        400
 95,           130,              36,            164,       318,           0,        437
 96,           131,              36,             87,       327,           0,        472
 97,           132,              36,            133,       329,           0,        823
 98,           134,              37,            116,       338,           0,        328
 99,           136,              38,             82,       342,           0,        315
100,           137,              38,            174,       335,           0,        295
