   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
   0,             0,               0,              0,         0,           0,          0
   1,             0,               0,              0,         0,           0,          1
   2,             1,               0,              3,         1,           0,          3
   3,             3,               1,              4,         2,           0,          5
   4,             4,               1,              3,         5,           0,          5
   5,             8,               4,              6,         8,           0,          8
   6,            11,               6,              8,        10,           0,         11
   7,            16,              10,             29,        13,           0,         14
   8,            20,              13,             15,        16,           0,         43
   9,            26,              18,             20,        19,           0,         18
  10,            28,              19,             20,        25,           0,         20
  11,            30,              20,             22,        27,           0,         22
  12,            33,              22,             23,        28,           0,         24
  13,            34,              22,             25,        32,           0,         27
  14,            42,              29,             30,        38,           0,         30
  15,            51,              37,             36,        42,           0,         34
  16,            62,              47,             46,        46,           0,         49
  17,            78,              62,             92,        51,           0,         40
  18,            91,              74,             70,        53,           0,         43
  19,            96,              78,             74,        59,           0,         47
  20,           110,              91,             84,        66,           0,         49
  21,           128,             108,            100,        72,           0,         54
  22,           131,             110,            101,        75,           0,         56
  23,           132,             110,            102,        76,           0,         57
  24,           154,             131,            119,        80,           0,         61
  25,           176,             152,            136,        84,           0,         65
  26,           189,             164,            149,        92,           0,         67
  27,           213,             187,            168,        95,           0,         71
  28,           235,             208,            185,       104,           0,         77
  29,           250,             222,            209,       108,           0,         79
  30,           266,             237,            211,       113,           0,        127
  31,           275,             245,            288,       117,           0,        139
  32,           286,             255,            226,       120,           0,         87
  33,           312,             280,            249,       126,           0,        112
  34,           342,             309,            354,       133,           0,         99
  35,           373,             339,            308,       136,           0,        102
  36,           385,             350,            374,       145,           0,        113
  37,           414,             378,            449,       147,           0,        190
  38,           437,             400,            463,       152,           0,        112
  39,           457,             419,            370,       160,           0,        115
  40,           482,             443,            391,       169,           0,        121
  41,           513,             473,            418,       175,           0,        126
  42,           535,             494,            437,       178,           0,        128
  43,           573,             531,            468,       183,           0,        131
  44,           580,             537,            476,       193,           0,        135
  45,           618,             574,            558,       199,           0,        143
  46,           622,             577,            520,       197,           0,        144
  47,           656,             610,            550,       200,           0,        146
  48,           692,             645,            581,       206,           0,        151
  49,           720,             672,            718,       212,           0,        182
  50,           735,             686,            745,       219,           0,        164
  51,           776,             726,            658,       229,           0,        165
  52,           789,             738,            779,       232,           0,        203
  53,           791,             739,           1077,       236,           0,        175
  54,           832,             779,            731,       244,           0,        174
  55,           863,             809,            726,       248,           0,        178
  56,           882,             827,            766,       263,           0,        190
  57,           896,             840,            780,       267,           0,        194
  58,           906,             849,            783,       267,           0,        197
  59,           947,             889,            823,       280,           0,        203
  60,           960,             901,            887,       287,           0,        212
  61,          1020,             961,            898,       289,           0,        211
  62,          1042,             982,            906,       297,           0,        214
  63,          1058,             997,            918,       303,           0,        219
  64,          1060,             998,           1016,       309,           0,        257
  65,          1094,            1031,           1098,       316,           0,        256
  66,          1104,            1040,            976,       318,           0,        247
  67,          1130,            1065,           1020,       325,           0,        247
  68,          1183,            1117,           1101,       335,           0,        246
  69,          1184,            1117,           1034,       339,           0,        246
  70,          1225,            1157,           1077,       343,           0,        250
  71,          1255,            1186,           1168,       350,           0,        256
  72,          1305,            1235,           1223,       361,           0,        269
  73,          1375,            1304,           1308,       368,           0,        350
  74,          1406,            1334,           1261,       370,           0,        338
  75,          1471,            1398,           1344,       373,           0,        274
  76,          1539,            1465,           1362,       382,           0,        277
  77,          1570,            1495,           1399,       390,           0,        282
  78,          1608,            1532,           1416,       397,           0,        289
  79,          1650,            1573,           1473,       402,           0,        290
  80,          1707,            1629,           1513,       413,           0,        327
  81,          1762,            1683,           1648,       418,           0,        302
  82,          1808,            1728,           1595,       423,           0,        312
  83,          1852,            1771,           1684,       431,           0,        311
  84,          1929,            1847,           1734,       436,           0,        320
  85,          1976,            1893,           1941,       439,           0,        319
  86,          1985,            1901,           1881,       452,           0,        324
  87,          2065,            1980,           1845,       464,           0,        331
  88,          2115,            2029,           1894,       473,           0,        337
  89,          2169,            2082,           3273,       477,           0,        344
  90,          2223,            2135,           2415,       484,           0,        349
  91,          2267,            2178,           2107,       492,           0,        359
  92,          2326,            2236,           2342,       487,           0,        833
  93,          2333,            2242,           2106,       492,           0,        355
  94,          2426,            2335,           2142,       497,           0,        353
  95,          2504,            2412,           2236,       504,           0,        362
  96,          2518,            2425,           2329,       509,           0,        368
