  n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
  0,             0,               0,              1,         0,           0,          1
  1,             0,               0,              0,         0,           0,          0
  2,             1,               1,              4,         1,           0,          4
  3,             2,               1,              3,         3,           0,          5
  4,             4,               2,              5,         4,           0,          6
  5,             5,               2,              3,         6,           0,          8
  6,            10,               6,              9,        11,           0,         11
  7,            13,               8,             10,        14,           0,         16
  8,            20,              15,             18,        16,           0,         17
  9,            26,              20,             21,        20,           0,         22
 10,            34,              27,             30,        21,           0,         23
 11,            40,              32,             35,        26,           0,         27
 12,            44,              35,             37,        31,           0,         30
 13,            55,              45,             47,        36,           0,         36
 14,            59,              48,             51,        36,           0,         45
 15,            67,              55,             58,        41,           0,         41
 16,            70,              57,             61,        45,           0,         44
 17,            83,              69,             72,        50,           0,         47
 18,            92,              77,             79,        56,           0,         53
 19,            95,              79,             82,        59,           0,         55
 20,           114,              98,            100,        62,           0,         57
 21,           133,             116,            116,        67,           0,         63
 22,           154,             136,            138,        70,           0,         66
 23,           168,             149,            153,        79,           0,         72
 24,           182,             162,            164,        84,           0,         75
 25,           198,             177,            181,        90,           0,         83
 26,           211,             189,            192,        88,           0,         82
 27,           235,             212,            214,        97,           0,         88
 28,           241,             217,            295,        99,           0,         93
 29,           248,             223,            222,       103,           0,         93
 30,           255,             229,            227,       111,           0,         97
 31,           268,             241,            238,       113,           0,         98
 32,           280,             252,            248,       121,           0,        103
 33,           293,             264,            260,       126,           0,        108
 34,           321,             291,            288,       133,           0,        115
 35,           329,             298,            329,       138,           0,        164
 36,           357,             325,            387,       147,           0,        123
 37,           386,             353,            339,       154,           0,        125
 38,           415,             381,            357,       151,           0,        124
 39,           419,             384,            365,       157,           0,        128
 40,           458,             423,            408,       161,           0,        134
 41,           486,             450,            631,       166,           0,        218
 42,           508,             471,            454,       173,           0,        217
 43,           538,             500,            926,       180,           0,        329
 44,           544,             505,           1207,       180,           0,        368
 45,           558,             518,           1112,       182,           0,        268
 46,           580,             539,            720,       201,           0,        263
 47,           610,             568,            648,       208,           0,        267
 48,           635,             592,            970,       208,           0,        325
 49,           677,             633,            822,       214,           0,        193
 50,           716,             671,            663,       226,           0,        174
 51,           726,             680,            671,       233,           0,        174
 52,           729,             682,            645,       231,           0,        208
 53,           748,             700,            733,       237,           0,        188
 54,           800,             751,            803,       243,           0,        188
 55,           848,             798,            827,       254,           0,        249
 56,           884,             833,            802,       256,           0,        194
 57,           908,             856,            813,       261,           0,        206
 58,           949,             896,            890,       266,           0,        200
 59,          1007,             953,            926,       275,           0,        209
 60,          1018,             963,            939,       283,           0,        267
 61,          1067,            1011,            988,       288,           0,        241
 62,          1098,            1041,           1294,       291,           0,        291
 63,          1105,            1047,           1343,       297,           0,        221
 64,          1129,            1070,            993,       308,           0,        223
 65,          1139,            1079,           1006,       313,           0,        232
 66,          1190,            1129,           1185,       319,           0,        284
 67,          1252,            1190,           1440,       326,           0,        246
 68,          1318,            1255,           1213,       334,           0,        253
 69,          1382,            1318,           1294,       342,           0,        279
 70,          1448,            1383,           1345,       342,           0,        255
 71,          1502,            1436,           1391,       348,           0,        258
 72,          1503,            1436,           1353,       362,           0,        270
 73,          1571,            1503,           1421,       370,           0,        269
 74,          1616,            1547,           1487,       374,           0,        274
 75,          1682,            1612,           1532,       381,           0,        331
 76,          1706,            1635,           1533,       384,           0,        287
 77,          1710,            1638,           1596,       386,           0,        288
 78,          1746,            1673,           1563,       388,           0,        281
 79,          1814,            1740,           1688,       403,           0,        298
 80,          1819,            1744,           1710,       401,           0,        300
 81,          1859,            1783,           1826,       407,           0,        300
 82,          1882,            1805,           1712,       416,           0,        300
 83,          1933,            1855,           1743,       426,           0,        308
 84,          1938,            1859,           1726,       432,           0,        308
 85,          1983,            1903,           1801,       441,           0,        359
 86,          2010,            1929,           1912,       445,           0,        324
 87,          2055,            1973,           1829,       451,           0,        329
 88,          2094,            2011,           1910,       452,           0,        329
 89,          2130,            2046,           1903,       459,           0,        370
 90,          2185,            2100,           2103,       457,           0,        334
 91,          2198,            2112,           1965,       470,           0,        339
 92,          2212,            2125,           1991,       490,           0,        349
 93,          2255,            2167,           2004,       496,           0,        357
 94,          2295,            2206,           2095,       507,           0,        365
 95,          2303,            2213,           2049,       507,           0,        361
 96,          2379,            2288,           2156,       514,           0,        372
 97,          2421,            2329,           2209,       520,           0,        371
 98,          2517,            2424,           2226,       533,           0,        375
 99,          2602,            2508,           2346,       533,           0,        380
100,          2664,            2569,           2352,       549,           0,        386
