  n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,1,0,0,1,0,0
3,2,0,0,2,0,0
4,4,1,0,4,0,0
5,5,1,0,6,0,0
6,9,4,0,10,0,0
7,12,6,0,13,0,0
8,13,6,0,15,0,0
9,14,6,0,16,0,0
10,16,7,0,18,0,0
11,18,8,999,21,0,0
12,19,8,0,26,0,0
13,20,8,0,28,0,0
14,21,8,0,30,0,0
15,22,8,0,33,0,0
16,23,8,0,36,0,0
17,24,8,0,37,0,0
18,25,8,0,40,0,0
19,27,9,0,42,0,0
20,28,9,0,45,0,0
21,29,9,0,47,0,0
22,30,9,0,49,0,0
23,31,9,504,53,0,0
24,32,9,0,59,0,0
25,33,9,0,61,0,0
26,34,9,0,63,0,0
27,35,9,0,67,0,0
28,37,10,0,69,0,0
29,39,11,0,73,0,0
30,40,11,0,78,0,0
31,41,11,0,82,0,0
32,42,11,0,86,0,0
33,43,11,0,87,0,0
34,44,11,0,88,0,0
35,46,12,0,90,0,0
36,48,13,0,97,0,0
37,50,14,0,100,0,1006
38,55,18,0,102,0,0
39,56,18,0,108,0,0
40,57,18,0,111,0,0
41,58,18,0,113,0,0
42,59,18,0,115,0,0
43,61,19,0,117,0,0
44,63,20,0,122,0,0
45,65,21,0,127,0,0
46,66,21,0,132,0,0
47,67,21,0,135,0,1005
48,68,21,0,144,0,0
49,69,21,0,146,0,0
50,71,22,0,146,0,0
51,72,22,0,151,0,0
52,73,22,0,153,0,0
53,75,23,0,158,0,0
54,77,24,0,162,0,0
55,78,24,0,169,0,998
56,80,25,0,172,0,0
57,81,25,0,175,0,0
58,82,25,0,176,0,0
59,83,25,0,181,0,0
60,85,26,0,184,0,0
61,86,26,0,190,0,0
62,87,26,0,196,0,998
63,88,26,0,203,0,0
64,89,26,0,205,0,0
65,90,26,0,206,0,0
66,91,26,0,208,0,0
67,92,26,0,207,0,0
68,94,27,0,217,0,0
69,97,29,1000,219,0,0
70,100,31,0,223,0,0
71,101,31,0,224,0,0
72,102,31,0,231,0,0
73,104,32,0,231,0,0
74,106,33,0,237,0,1000
75,107,33,0,240,0,0
76,108,33,0,244,0,0
77,109,33,0,250,0,0
78,111,34,0,250,0,0
79,112,34,0,256,0,0
80,113,34,0,262,0,0
81,114,34,0,263,0,0
82,115,34,0,265,0,0
83,116,34,0,271,0,0
84,117,34,0,272,0,0
85,118,34,0,276,0,999
86,119,34,0,278,0,0
87,120,34,0,281,0,0
88,121,34,0,287,0,0
89,122,34,0,290,0,0
90,124,35,0,295,0,0
91,125,35,0,298,0,0
92,126,35,0,305,0,1504
93,128,36,0,308,0,0
94,129,36,0,317,0,0
95,130,36,0,318,0,0
96,131,36,0,327,0,1004
97,132,36,0,329,0,0
98,134,37,0,338,0,0
99,136,38,0,342,0,0
100,137,38,0,335,0,0
