 n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 0,             0,               0,              2,         0,           0,          1
 1,             0,               0,              0,         0,           0,          0
 2,             1,               0,              3,         1,           0,          4
 3,             2,               0,              1,         2,           0,          5
 4,             3,               0,              1,         4,           0,          5
 5,             4,               0,              2,         5,           0,          8
 6,             6,               1,              6,         7,           0,         11
 7,            10,               4,              7,        10,           0,         15
 8,            11,               4,              8,        14,           0,         16
 9,            12,               4,              8,        15,           0,         20
10,            13,               4,              9,        17,           0,         24
