   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time,,,,,,,,,,<RANDOM,,,,,,,,,,,,   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
0,0,0,0,0,0,0,,,,,,,,,,NEARLYSORTED>,,,,,,,,,,,,0,0,0,0,0,0,0
1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0
2,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,1,0,0
3,3,1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,3,3,2,0,3,0,0
4,4,1,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,4,4,2,0,5,0,0
5,8,4,0,8,0,0,,,,,,,,,,,,,,,,,,,,,,5,5,2,0,6,0,0
6,11,6,0,10,0,0,,,,,,,,,,,,,,,,,,,,,,6,6,2,0,8,0,0
7,16,10,0,13,0,0,,,,,,,,,,,,,,,,,,,,,,7,7,2,0,10,0,0
8,20,13,0,16,0,0,,,,,,,,,,,,,,,,,,,,,,8,8,2,0,13,0,0
9,26,18,0,19,0,0,,,,,,,,,,,,,,,,,,,,,,9,9,2,0,14,0,0
10,28,19,0,25,0,0,,,,,,,,,,,,,,,,,,,,,,10,10,2,0,16,0,0
11,30,20,0,27,0,0,,,,,,,,,,,,,,,,,,,,,,11,11,2,0,18,0,0
12,33,22,0,28,0,0,,,,,,,,,,,,,,,,,,,,,,12,13,3,0,21,0,0
13,34,22,0,32,0,1000,,,,,,,,,,,,,,,,,,,,,,13,14,3,0,24,0,0
14,42,29,0,38,0,0,,,,,,,,,,,,,,,,,,,,,,14,15,3,0,26,0,0
15,51,37,0,42,0,0,,,,,,,,,,,,,,,,,,,,,,15,16,3,0,30,0,0
16,62,47,0,46,0,0,,,,,,,,,,,,,,,,,,,,,,16,17,3,0,33,0,0
17,78,62,0,51,0,0,,,,,,,,,,,,,,,,,,,,,,17,19,4,0,34,0,0
18,91,74,0,53,0,0,,,,,,,,,,,,,,,,,,,,,,18,20,4,0,38,0,0
19,96,78,0,59,0,0,,,,,,,,,,,,,,,,,,,,,,19,21,4,0,40,0,0
20,110,91,0,66,0,0,,,,,,,,,,,,,,,,,,,,,,20,23,5,999,41,0,0
21,128,108,0,72,0,0,,,,,,,,,,,,,,,,,,,,,,21,25,6,0,45,0,0
22,131,110,0,75,0,0,,,,,,,,,,,,,,,,,,,,,,22,26,6,0,50,0,0
23,132,110,0,76,0,0,,,,,,,,,,,,,,,,,,,,,,23,27,6,0,51,0,0
24,154,131,0,80,0,0,,,,,,,,,,,,,,,,,,,,,,24,28,6,0,55,0,0
25,176,152,0,84,0,0,,,,,,,,,,,,,,,,,,,,,,25,29,6,0,57,0,0
26,189,164,0,92,0,0,,,,,,,,,,,,,,,,,,,,,,26,31,7,0,62,0,0
27,213,187,0,95,0,0,,,,,,,,,,,,,,,,,,,,,,27,33,8,0,65,0,0
28,235,208,0,104,0,0,,,,,,,,,,,,,,,,,,,,,,28,36,10,0,67,0,0
29,250,222,0,108,0,0,,,,,,,,,,,,,,,,,,,,,,29,37,10,0,73,0,0
30,266,237,998,113,0,0,,,,,,,,,,,,,,,,,,,,,,30,38,10,0,77,0,0
31,275,245,0,117,0,0,,,,,,,,,,,,,,,,,,,,,,31,40,11,0,81,0,0
32,286,255,0,120,0,0,,,,,,,,,,,,,,,,,,,,,,32,41,11,0,85,0,0
33,312,280,0,126,0,0,,,,,,,,,,,,,,,,,,,,,,33,42,11,0,86,0,0
34,342,309,0,133,0,0,,,,,,,,,,,,,,,,,,,,,,34,43,11,0,89,0,0
35,373,339,0,136,0,0,,,,,,,,,,,,,,,,,,,,,,35,45,12,0,90,0,0
36,385,350,0,145,0,0,,,,,,,,,,,,,,,,,,,,,,36,46,12,1004,95,0,0
37,414,378,0,147,0,0,,,,,,,,,,,,,,,,,,,,,,37,47,12,0,98,0,0
38,437,400,0,152,0,0,,,,,,,,,,,,,,,,,,,,,,38,48,12,0,101,0,0
39,457,419,1502,160,0,0,,,,,,,,,,,,,,,,,,,,,,39,49,12,0,105,0,0
40,482,443,0,169,0,0,,,,,,,,,,,,,,,,,,,,,,40,51,13,0,107,0,0
41,513,473,0,175,0,0,,,,,,,,,,,,,,,,,, ,,,,41,52,13,0,110,0,0
42,535,494,1003,178,0,0,,,,,,,,,,,,,,,,,,,,,,42,53,13,0,112,0,0
43,573,531,0,183,0,0,,,,,,,,,,,,,,,,,,,,,,43,54,13,0,116,0,0
44,580,537,1000,193,0,0,,,,,,,,,,,,,,,,,,,,,,44,55,13,0,121,0,0
45,618,574,0,199,0,0,,,,,,,,,,,,,,,,,,,,,,45,56,13,0,125,0,0
46,622,577,0,197,0,0,,,,,,,,,,,,,,,,,,,,,,46,57,13,0,125,0,0
47,656,610,0,200,0,0,,,,,,,,,,,,,,,,,,,,,,47,59,14,0,131,0,0
48,692,645,0,206,0,0,,,,,,,,,,,,,,,,,,,,,,48,61,15,0,137,0,0
49,720,672,999,212,0,0,,,,,,,,,,,,,,,,,,,,,,49,62,15,0,139,0,0
50,735,686,0,219,0,0,,,,,,,,,,,,,,,,,,,,,,50,63,15,0,142,0,0
51,776,726,0,229,0,0,,,,,,,,,,,,,,,,,,,,,,51,65,16,0,145,0,0
52,789,738,999,232,0,0,,,,,,,,,,,,,,,,,,,,,,52,67,17,0,152,0,0
53,791,739,0,236,0,0,,,,,,,,,,,,,,,,,,,,,,53,70,19,0,156,0,0
54,832,779,1000,244,0,0,,,,,,,,,,,,,,,,,,,,,,54,73,21,0,160,0,0
55,863,809,0,248,0,0,,,,,,,,,,,,,,,,,,,,,,55,74,21,0,165,0,999
56,882,827,999,263,0,0,,,,,,,,,,,,,,,,,,,,,,56,75,21,0,163,0,0
57,896,840,999,267,0,0,,,,,,,,,,,,,,,,,,,,,,57,76,21,0,165,0,0
58,906,849,0,267,0,0,,,,,,,,,,,,,,,,,,,,,,58,77,21,0,179,0,0
59,947,889,999,280,0,0,,,,,,,,,,,,,,,,,,,,,,59,78,21,0,180,0,0
60,960,901,503,287,0,0,,,,,,,,,,,,,,,,,,,,,,60,79,21,0,184,0,0
61,1020,961,1004,289,0,0,,,,,,,,,,,,,,,,,,,,,,61,80,21,0,187,0,0
62,1042,982,0,297,0,1003,,,,,,,,,,,,,,,,,,,,,,62,81,21,0,194,0,1001
63,1058,997,0,303,0,0,,,,,,,,,,,,,,,,,,,,,,63,82,21,0,198,0,0
64,1060,998,1000,309,0,0,,,,,,,,,,,,,,,,,,,,,,64,84,22,0,202,0,0
65,1094,1031,999,316,0,0,,,,,,,,,,,,,,,,,,,,,,65,85,22,0,204,0,0
66,1104,1040,999,318,0,0,,,,,,,,,,,,,,,,,,,,,,66,86,22,0,205,0,0
67,1130,1065,0,325,0,1000,,,,,,,,,,,,,,,,,,,,,,67,87,22,0,209,0,0
68,1183,1117,0,335,0,0,,,,,,,,,,,,,,,,,,,,,,68,89,23,0,214,0,0
69,1184,1117,999,339,0,0,,,,,,,,,,,,,,,,,,,,,,69,92,25,0,216,0,999
70,1225,1157,999,343,0,0,,,,,,,,,,,,,,,,,,,,,,70,96,28,0,219,0,0
71,1255,1186,0,350,0,1502,,,,,,,,,,,,,,,,,,,,,,71,100,31,0,220,0,0
72,1305,1235,0,361,0,1003,,,,,,,,,,,,,,,,,,,,,,72,101,31,0,230,0,0
73,1375,1304,0,368,0,1000,,,,,,,,,,,,,,,,,,,,,,73,102,31,0,230,0,0
74,1406,1334,0,370,0,0,,,,,,,,,,,,,,,,,,,,,,74,103,31,0,237,0,0
75,1471,1398,1003,373,0,0,,,,,,,,,,,,,,,,,,,,,,75,104,31,1001,240,0,0
76,1539,1465,0,382,0,998,,,,,,,,,,,,,,,,,,,,,,76,105,31,0,239,0,0
77,1570,1495,0,390,0,0,,,,,,,,,,,,,,,,,,,,,,77,106,31,0,245,0,0
78,1608,1532,998,397,0,0,,,,,,,,,,,,,,,,,,,,,,78,108,32,0,250,0,0
79,1650,1573,987,402,0,0,,,,,,,,,,,,,,,,,,,,,,79,111,34,0,254,0,0
80,1707,1629,998,413,0,0,,,,,,,,,,,,,,,,,,,,,,80,112,34,0,262,0,998
81,1762,1683,1501,418,0,0,,,,,,,,,,,,,,,,,,,,,,81,113,34,0,262,0,0
82,1808,1728,1004,423,0,0,,,,,,,,,,,,,,,,,,,,,,82,114,34,0,263,0,0
83,1852,1771,1004,431,0,0,,,,,,,,,,,,,,,,,,,,,,83,116,35,0,271,0,0
84,1929,1847,1000,436,0,0,,,,,,,,,,,,,,,,,,,,,,84,117,35,0,270,0,0
85,1976,1893,1002,439,0,0,,,,,,,,,,,,,,,,,,,,,,85,120,37,0,274,0,1000
86,1985,1901,998,452,0,0,,,,,,,,,,,,,,,,,,,,,,86,124,40,0,280,0,0
87,2065,1980,1999,464,0,0,,,,,,,,,,,,,,,,,,,,,,87,125,40,0,285,0,0
88,2115,2029,1502,473,0,0,,,,,,,,,,,,,,,,,,,,,,88,126,40,0,291,0,0
89,2169,2082,1003,477,0,0,,,,,,,,,,,,,,,,,,,,,,89,127,40,0,294,0,0
90,2223,2135,1000,484,0,0,,,,,,,,,,,,,,,,,,,,,,90,128,40,0,302,0,0
91,2267,2178,1000,492,0,0,,,,,,,,,,,,,,,,,,,,,,91,130,41,0,304,0,0
92,2326,2236,2000,487,0,0,,,,,,,,,,,,,,,,,,,,,,92,131,41,0,307,0,1004
93,2333,2242,1000,492,0,0,,,,,,,,,,,,,,,,,,,,,,93,132,41,0,310,0,0
94,2426,2335,1998,497,0,0,,,,,,,,,,,,,,,,,,,,,,94,133,41,0,314,0,0
95,2504,2412,1502,504,0,0,,,,,,,,,,,,,,,,,,,,,,95,134,41,0,320,0,0
96,2518,2425,2007,509,0,0,,,,,,,,,,,,,,,,,,,,,,96,135,41,0,326,0,0
97,2576,2482,1001,516,0,998,,,,,,,,,,,,,,,,,,,,,,97,139,44,0,329,0,0
98,2578,2483,999,524,0,0,,,,,,,,,,,,,,,,,,,,,,98,144,48,0,333,0,0
99,2633,2537,2000,535,0,0,,,,,,,,,,,,,,,,,,,,,,99,145,48,0,340,0,0
100,2660,2563,999,544,0,0,,,,,,,,,,,,,,,,,,,,,,100,146,48,0,343,0,0
101,2740,2642,2508,550,0,0,,,,,,,,,,,,,,,,,,,,,,101,147,48,999,346,0,0
102,2808,2709,2003,559,0,0,,,,,,,,,,,,,,,,,,,,,,102,148,48,0,349,0,0
103,2812,2712,2000,564,0,0,,,,,,,,,,,,,,,,,,,,,,103,149,48,0,354,0,0
104,2915,2815,1998,574,0,0,,,,,,,,,,,,,,,,,,,,,,104,150,48,0,357,0,0
